reg|name|promoter|district|project_type|started|units
RP/19/2026/01536|TM'S MANSION|M/s. T.M Constructions|Khordha|Residential|Jun, 2026|20
RP/19/2026/01535|MURALI KANCHAN TOWER|TRILOCHAN PROJECTS AND DEVELOPERS PVT. LTD|Khordha|Residential|Jun, 2026|16
RP/11/2026/01534|GRAND ALQUARE|ALQUARE GROUP|Ganjam|Residential|Jun, 2026|24
RP/04/2026/01531|Homelys World|HOMELY BUILDOFIY PVT LTD|Bargarh|Residential|Jun, 2026|175
RP/04/2026/01530|USHA KUNJ|BIRMIWAL TRD BUILDCON PRIVATE LIMITED|Bargarh|Residential|Jun, 2026|65
RP/26/2026/01527|BHAWANI RADHA RESIDENCY|SAHA AND SONS|Puri|Residential|Jun, 2026|40
RP/19/2026/01526|Rashmi Lifestyle-II|Shree Ganesh Buildcon Pvt. Ltd.|Khordha|Residential|Jun, 2026|39
RP/07/2026/01525|OMM SIGNATURE|OMM TECH AND PROPERTIES PRIVATE LIMITED|Cuttack|Residential|Jun, 2026|24
RP/19/2026/01524|Baramunda Affordable Housing-1|M/S. Z ESTATES PRIVATE LIMITED|Khordha|Affordable housing and slum re-development and Rehabilitation housing|Jun, 2026|388
RP/19/2026/01523|JB SIERRA|M/S. JB ASSETS PRIVATE LIMITED|Khordha|Residential|Jun, 2026|58
RP/26/2026/01522|CORAL CREST|Fortune Multriprojects (India) private limited|Puri|Residential|Jun, 2026|31
RP/26/2026/01521|Catalyst Legacy|CATALYST HOMES PVT. LTD.|Puri|Residential|Jun, 2026|72
RP/19/2026/01520|INDU HOUSING SOCIETY|HKP INFRASTRUCTURE PVT.LTD.|Khordha|Residential|Jun, 2026|16
RP/19/2026/01519|ADARSH APARTMENT|SUSWAPNA ESTATE PRIVATE LIMITED|Khordha|Residential|Jun, 2026|30
RP/30/2026/01518|SKS MAITREE NIWAS|S K SAHOO DEVELOPERS PRIVATE LIMITED|Sundargarh|Residential|Jun, 2026|32
RP/19/2026/01517|Stairway Om Swastik|M/s. Stairway Developers Pvt. Ltd|Khordha|Residential|Jun, 2026|38
RP/30/2026/01516|GOKUL VATIKA|GOKUL HOME ELEMENTS PRIVATE LIMITED|Sundargarh|Residential|Jun, 2026|60
RP/19/2026/01515|AADYA PALACE BLOCK B|M/s. Mega Builders & Developers|Khordha|Residential|May, 2026|55
RP/11/2026/01514|Subham Plaza|Subhajeet Developers|Ganjam|Residential|May, 2026|32
RP/19/2026/01513|Ridhi Sidhi Enclave|BABAMANI ESTATE & DEVELOPERS PRIVATE LIMITED|Khordha|Residential|May, 2026|12
RP/26/2026/01512|MAHAVEER PALACE|NANDAN OMACS PROPERTIES|Puri|Residential|May, 2026|263
RP/19/2026/01511|Affordable Housing Project-1, Patia|M/S. AMJ GLOBAL HOMES LLP|Khordha|Residential|May, 2026|104
RP/19/2026/01508|STALWART LUXURIA VILLAS|STALWART PROJECTS PRIVATE LIMITED|Khordha|Residential|May, 2026|53
RP/19/2026/01507|NIRVANA NIWAS|ARRS INFRA VENTURES PRIVATE LIMITED|Khordha|Residential|May, 2026|30
RP/03/2026/01504|GEETA ENCLAVE|LIFESPARK INFRA & CONSULTING PVT LTD|Balasore|Residential|May, 2026|20
RP/19/2026/01500|BADSHAH EXCELLENCY|BADSHAH CONSTRUCTIONS PVT.LTD.|Khordha|Residential|May, 2026|36
RP/19/2026/01499|ROYAL CREST|SJD-EMPEREAN PROPERTIES LLP|Khordha|Residential|May, 2026|46
RP/07/2026/01498|S.L.TOWER|JAIN BUILDERS AND DEVELOPERS|Cuttack|Residential|May, 2026|19
RP/19/2026/01495|TULASI KOTTAGE|RA HOUSING & INFRA PRIVATE LIMITED|Khordha|Residential|May, 2026|12
RP/19/2026/01494|VIP PRESTANCIA|VATERLAND INFRASTRUCTURE PRIVATE LIMITED|Khordha|Residential|May, 2026|25
RP/07/2026/01492|VANYA|TIRUMALA INFRASTRUCTURE AND DEVELOPMENT PVT. LTD.|Cuttack|Residential|May, 2026|238
RP/19/2026/01491|MERAK HEIGHTS BY TWO7 ADDRESS MAKERS|TWO7 REAL ESTATE SPV PRIVATE LIMITED|Khordha|Residential|May, 2026|39
RP/19/2026/01490|ROYALA18|JAI BHOLA CONSTRUCTION AND DEVELOPERS|Khordha|Residential|May, 2026|20
RP/07/2026/01489|ARYAVARTA|ARYANS INFRASTRUCTURE PVT. LTD.|Cuttack|Residential|May, 2026|126
RP/19/2026/01488|MAGNAURA HEIGHTS BY TWO7 ADDRESS MAKERS|TWO7 ADDRESS MAKERS PVT LTD|Khordha|Residential|May, 2026|23
RP/19/2026/01487|Costa Furtune Horizon Heights|Sai Harmony Pvt. Ltd|Khordha|Residential|May, 2026|88
RP/03/2026/01486|Supratik Waves|SUPRATIK INFRA VENTURES PRIVATE LIMITED|Balasore|Residential|May, 2026|91
RP/19/2026/01484|MASON ENCLAVE|M/s. Mason Estate (India) Pvt. Ltd|Khordha|Residential|May, 2026|13
RP/07/2026/01483|GRACE ELITE EDGE|SGRACE ENGINEERING PRIVATE LIMITED|Cuttack|Residential|Apr, 2026|31
RP/26/2026/01482|NILACHAL ENCLUSIVE|PNB DEVELOPERS|Puri|Residential|Apr, 2026|19
RP/07/2026/01481|SAPPHIRE|OCASA REALTY AND RESORTS PRIVATE LIMITED|Cuttack|Residential|Apr, 2026|27
RP/07/2026/01480|JOSHNA SKYLINE|SANTOSH KUMAR NAYAK|Cuttack|Residential|Apr, 2026|28
RP/19/2026/01479|Qala|Ashiana Realty LLP|Khordha|Residential|Apr, 2026|296
RP/07/2026/01478|HEADQUARTER|Manikarnika Enterprises|Cuttack|Residential|Apr, 2026|36
RP/07/2026/01477|AcreRise Avenue|M/S. ACRERISE PROJECTS PVT. LTD.|Cuttack|Residential|Apr, 2026|24
RP/19/2026/01476|EVOS ATMAN.|M/s. Evos Buildcon Private Limited|Khordha|Residential|Apr, 2026|48
RP/26/2026/01474|ANANYA SRIKSHETRA PHASE-3|Prabhukrupa Realties Private Limited|Puri|Residential|Apr, 2026|120
RP/26/2026/01473|ANANYA SRIKSHETRA PHASE-2|Prabhukrupa Realties Private Limited|Puri|Residential|Apr, 2026|150
RP/19/2026/01472|MOTWANI ANANDAM|MOTWANI CONSTRUCTIONS PVT LTD|Khordha|Residential|Apr, 2026|111
RP/11/2026/01471|Disha Ananta Villa|DISHA REAL ESTATE|Ganjam|Residential|Apr, 2026|48
